study_hours,attendance,result
2.5,82.1,0
6.0,64.5,1
6.5,87.9,1
7.5,100.0,1
5.0,100.0,1
5.5,68.4,1
6.0,51.0,0
2.0,74.8,0
8.5,69.6,1
4.0,81.8,0
5.0,62.2,0
6.0,81.3,1
3.0,73.8,0
1.5,83.1,0
5.5,79.5,1
4.0,100.0,1
2.5,65.0,0
6.5,96.0,1
4.5,61.2,0
7.5,67.1,1
3.5,82.4,1
4.0,65.6,0
4.5,70.3,0
4.5,83.4,0
6.5,64.7,1
1.0,94.2,0
6.0,54.2,0
4.0,94.8,0
6.0,92.8,1
5.0,62.8,0
5.5,96.4,1
3.5,86.1,0
7.5,69.5,1
5.5,81.4,1
4.0,70.8,0
5.0,78.7,1
4.5,90.1,1
2.0,99.2,0
7.5,80.5,1
4.5,65.0,0
5.0,81.6,1
5.5,56.3,1
4.5,78.6,1
7.5,95.2,1
3.5,85.0,0
5.5,81.3,1
6.0,80.1,1
4.5,70.6,0
8.0,78.4,1
0.5,63.4,0
6.5,100.0,1
6.0,96.1,1
10.0,62.1,1
7.0,83.8,1
6.5,82.2,1
3.5,86.3,0
4.5,88.9,0
7.0,91.7,1
4.5,85.8,1
4.5,100.0,1
7.0,97.6,1
2.0,100.0,0
5.5,62.5,1
6.0,81.4,0
7.0,81.6,1
8.5,75.9,1
6.0,70.5,1
4.0,65.4,0
7.0,79.5,1
3.5,65.7,0
6.0,80.6,1
3.5,62.7,0
5.5,75.1,1
5.5,71.7,0
6.5,74.1,1
6.0,83.6,1
3.5,58.0,0
5.5,70.7,0
2.0,95.3,0
5.5,76.3,0
6.0,79.2,1
6.0,59.8,0
4.5,76.2,0
1.0,75.4,0
6.5,70.4,1
1.5,63.1,0
7.5,66.9,1
5.5,69.1,1
2.5,89.1,0
3.0,87.0,0
9.0,96.9,1
5.5,75.5,1
3.5,68.8,0
4.5,64.9,0
8.5,79.7,1
2.0,72.9,0
2.0,93.1,0
3.5,80.2,0
5.0,69.1,0
6.5,75.3,1
