study_hours,attendance,result
4.5,71.2,1
9.5,80.2,1
5.5,78.6,1
8.5,91.9,1
7.0,58.0,1
3.0,67.6,0
4.0,73.6,1
4.5,83.9,0
5.5,87.8,1
3.5,92.7,1
5.5,100.0,1
5.5,82.9,1
6.5,63.4,1
7.5,58.4,1
3.5,83.2,1
7.5,100.0,1
4.0,79.1,1
4.0,72.0,0
6.5,61.2,1
4.0,100.0,1
5.5,91.6,1
3.0,79.6,0
4.0,70.5,0
3.5,97.6,0
7.5,91.4,1
4.0,77.7,1
7.0,76.4,1
4.0,97.6,1
3.0,90.7,1
4.5,70.8,0
5.0,47.4,0
1.5,69.6,0
4.0,95.7,0
3.0,56.0,0
2.5,70.0,0
4.0,76.7,0
5.0,84.3,1
3.5,76.6,0
1.5,79.7,0
4.5,86.3,0
7.0,68.4,1
3.0,62.3,0
5.5,86.0,1
3.5,98.5,1
6.0,89.5,1
5.0,77.9,0
7.0,80.5,1
7.5,89.1,1
1.0,78.6,0
5.5,76.5,1
3.0,77.7,1
5.0,91.7,1
2.5,92.0,0
3.0,64.1,0
6.5,70.6,1
5.5,85.0,0
7.0,99.4,1
8.0,64.0,1
5.5,86.8,1
4.0,94.5,1
4.0,93.5,1
6.5,55.3,0
7.5,92.3,1
6.0,88.1,1
4.5,64.7,0
7.0,76.5,1
5.5,84.3,1
2.5,67.9,0
9.5,65.5,1
5.0,97.8,1
8.0,84.8,1
1.5,86.6,0
3.0,73.0,0
5.5,49.4,0
5.0,71.7,1
7.0,62.0,1
4.5,72.9,0
6.0,90.5,1
7.5,94.2,1
6.0,83.1,1
4.5,64.5,0
8.0,99.8,1
4.0,78.7,0
0.0,72.8,0
6.5,71.5,1
5.0,57.2,0
5.0,76.5,1
8.0,65.5,1
7.0,50.9,1
4.5,81.9,1
7.0,89.3,1
5.0,71.5,0
9.0,77.5,1
5.0,84.4,1
3.0,100.0,1
5.0,90.1,1
6.5,56.9,0
5.0,68.5,1
4.0,87.5,1
2.5,100.0,0
7.0,70.1,1
6.0,99.6,1
9.0,82.0,1
4.5,73.6,0
7.0,61.4,1
1.5,77.6,0
9.0,79.1,1
2.0,68.3,0
4.5,71.5,1
3.0,88.1,0
5.5,76.1,1
9.0,100.0,1
6.0,90.6,1
5.0,93.5,1
6.0,75.4,1
6.5,100.0,1
1.5,67.9,0
6.0,77.6,1
8.0,67.8,1
3.0,73.5,0
3.0,77.9,0
3.5,75.9,0
5.0,78.8,0
5.0,61.2,0
4.5,60.3,0
4.0,69.7,0
4.5,64.2,0
5.5,86.9,0
0.0,100.0,0
6.0,55.9,1
7.0,83.0,1
5.0,100.0,1
3.5,76.5,0
4.5,56.1,0
5.0,89.1,1
5.0,59.3,0
4.5,52.5,0
4.0,72.3,0
7.0,91.6,1
3.0,61.5,0
6.0,69.2,0
3.5,81.0,1
5.0,83.8,1
5.0,78.1,0
5.5,76.9,1
6.5,82.1,1
5.0,84.9,1
4.5,50.4,0
1.5,100.0,0
4.5,78.3,1
4.5,96.6,1
4.5,73.9,1
3.0,76.4,0
3.0,82.9,0
4.0,66.4,0
4.0,79.9,1
3.5,81.5,0
4.0,76.1,0
6.5,66.9,1
3.0,65.7,0
2.0,82.7,0
2.0,73.9,0
7.0,84.6,1
3.0,59.5,0
4.0,65.2,0
5.5,56.4,0
5.0,79.6,1
7.0,73.1,1
3.0,71.3,0
7.5,60.6,1
4.0,74.1,0
4.0,84.9,1
4.0,81.7,1
5.5,73.9,1
2.5,61.3,0
4.0,84.4,1
3.0,63.2,0
4.5,45.3,0
0.0,74.0,0
3.0,96.0,0
7.0,100.0,1
3.5,68.6,0
5.0,90.2,1
7.0,98.3,1
1.5,88.3,0
7.0,68.3,1
1.0,59.2,0
6.0,88.4,1
2.5,70.1,0
6.5,72.6,0
8.5,64.1,1
5.0,76.6,1
3.5,60.9,0
3.5,80.5,0
5.0,34.6,0
4.5,91.0,1
7.5,66.7,1
4.5,69.1,0
5.5,68.1,1
5.5,89.2,1
6.0,83.8,1
4.5,100.0,1
5.0,62.6,0
5.0,95.9,1
6.0,66.8,0
2.5,89.7,0
7.5,79.1,1
